age,year,Dx,sex,country,Nx,Mx
14,1987,5,m,Argentina,284798,1.755630306392601
15,1987,7,m,Argentina,276025,2.536002173716149
16,1987,9,m,Argentina,267601,3.363216131479329
17,1987,12,m,Argentina,259995,4.615473374487971
18,1987,15,m,Argentina,253494,5.917299817747166
19,1987,18,m,Argentina,247300,7.278608976951071
20,1987,21,m,Argentina,242246,8.668873789453697
21,1987,23,m,Argentina,239921,9.58648888592495
22,1987,24,m,Argentina,240837,9.965246203864025
23,1987,24,m,Argentina,241591,9.934144897781788
24,1987,23,m,Argentina,240488,9.563886763580719
25,1987,22,m,Argentina,238066,9.241134811354835
26,1987,21,m,Argentina,235782,8.906532305265033
27,1987,20,m,Argentina,234026,8.546058984899114
28,1987,19,m,Argentina,230246,8.252043466553165
29,1987,19,m,Argentina,227677,8.345155637152633
30,1987,18,m,Argentina,226992,7.929794882639036
31,1987,19,m,Argentina,224706,8.45549295523929
32,1987,19,m,Argentina,221953,8.560370889332427
33,1987,19,m,Argentina,219532,8.654774702549059
34,1987,19,m,Argentina,216864,8.761251291131769
35,1987,20,m,Argentina,213493,9.36798864599776
36,1987,20,m,Argentina,209576,9.543077451616597
37,1987,21,m,Argentina,205159,10.235963326005683
38,1987,21,m,Argentina,201767,10.408044923104374
39,1987,21,m,Argentina,198430,10.583077155672026
40,1987,21,m,Argentina,193145,10.872660436459654
41,1987,22,m,Argentina,187256,11.748622207032085
42,1987,22,m,Argentina,181565,12.116872745297828
43,1987,22,m,Argentina,176103,12.492688937723946
44,1987,22,m,Argentina,170929,12.870841109466504
45,1987,22,m,Argentina,166030,13.25061735830874
46,1987,23,m,Argentina,161399,14.250398081772502
47,1987,23,m,Argentina,157059,14.644178302421382
48,1987,23,m,Argentina,153012,15.031500797323085
49,1987,23,m,Argentina,149650,15.369194787838289
50,1987,24,m,Argentina,147159,16.30889038387051
51,1987,24,m,Argentina,145071,16.543623467129887
52,1987,24,m,Argentina,142839,16.80213387100162
53,1987,25,m,Argentina,140505,17.792961104587025
54,1987,25,m,Argentina,138249,18.083313441688546
55,1987,25,m,Argentina,135904,18.39533788556628
56,1987,26,m,Argentina,133428,19.486164822975688
57,1987,26,m,Argentina,130895.00000000001,19.8632491691814
58,1987,26,m,Argentina,128328,20.260582257963968
59,1987,27,m,Argentina,125178,21.569285337679144
60,1987,27,m,Argentina,121062,22.302621797095703
61,1987,27,m,Argentina,116329,23.210033611567194
62,1987,27,m,Argentina,111557,24.202873867171043
63,1987,27,m,Argentina,106824,25.27521905189845
64,1987,27,m,Argentina,101770,26.530411712685467
65,1987,27,m,Argentina,96436,27.997843129121904
66,1987,27,m,Argentina,91106,29.635808838056768
67,1987,27,m,Argentina,85915,31.426409823662922
68,1987,27,m,Argentina,80666,33.47135100290085
69,1987,27,m,Argentina,75696,35.668991756499686
70,1987,26,m,Argentina,71341,36.44468117912561
71,1987,26,m,Argentina,67075,38.76257920238539
72,1987,25,m,Argentina,62352,40.09494482935592
73,1987,24,m,Argentina,57391,41.81840358244324
74,1987,23,m,Argentina,52411,43.88391749823511
75,1987,22,m,Argentina,47315,46.496882595371446
76,1987,21,m,Argentina,42324,49.61723844627162
77,1987,20,m,Argentina,37629,53.150495628371736
78,1987,18,m,Argentina,33202,54.21360159026565
79,1987,17,m,Argentina,28934,58.75440658049354
80,1987,16,m,Argentina,24820,64.46414182111201
81,1987,14,m,Argentina,20928,66.89602446483181
82,1987,13,m,Argentina,17352,74.91931765790687
83,1987,13,m,Argentina,14143,91.91826345188433
84,1987,13,m,Argentina,11296,115.08498583569406
85,1987,13,m,Argentina,8819,147.40900328835468
86,1987,13,m,Argentina,6741,192.84972556000594
87,1987,10,m,Argentina,5053,197.90223629527014
88,1987,6,m,Argentina,3707,161.85594820609657
89,1987,2,m,Argentina,2664,75.07507507507508
90,1987,0,m,Argentina,1883,0
0,1988,0,m,Argentina,350289,0
1,1988,0,m,Argentina,344555,0
2,1988,0,m,Argentina,341133,0
3,1988,0,m,Argentina,339404,0
4,1988,0,m,Argentina,338495,0
5,1988,0,m,Argentina,337805,0
6,1988,0,m,Argentina,338565,0
7,1988,0,m,Argentina,339140,0
8,1988,0,m,Argentina,339019,0
9,1988,1,m,Argentina,337416,0.29637005951110795
10,1988,1,m,Argentina,333281,0.30004710739586116
11,1988,2,m,Argentina,325555,0.6143355193438896
12,1988,3,m,Argentina,315596,0.9505823901443617
13,1988,4,m,Argentina,305699,1.3084766387852103
14,1988,6,m,Argentina,295226,2.0323413249510542
15,1988,8,m,Argentina,284830,2.80869290453955
16,1988,10,m,Argentina,276115,3.621679372725133
17,1988,13,m,Argentina,267756,4.8551666442582055
18,1988,16,m,Argentina,260218.00000000003,6.148690713171264
19,1988,19,m,Argentina,253781,7.486770089171372
20,1988,21,m,Argentina,247643,8.47994895878341
21,1988,23,m,Argentina,242636,9.479219901416114
22,1988,24,m,Argentina,240339,9.985894923420668
